INDEX;landuse;geometry;center_geo;energysum;conversionfactor
24;retail;POLYGON ((4550902.29229991 3260856.311185217, 4550913.464505397 3260826.214288968, 4550918.262743684 3260814.037094793, 4550917.685599807 3260812.684461258, 4550920.225566657 3260805.69440002, 4550916.393805549 3260796.725859636, 4550922.35774237 3260797.225882257, 4550928.055312775 3260797.011632503, 4550933.486672158 3260796.517625298, 4550941.264203435 3260795.375076399, 4550946.766862471 3260793.937391466, 4550952.700161788 3260792.029515964, 4550959.207353794 3260789.646969435, 4550968.993558925 3260785.456007075, 4550975.85857024 3260782.12082703, 4550982.050194512 3260778.76549047, 4550999.945021688 3260768.968719851, 4551010.745346282 3260795.140352676, 4551055.404064383 3260903.304200278, 4551104.927588994 3260882.634367624, 4551111.193660131 3260880.017980927, 4551123.892814078 3260907.370086399, 4551127.554193677 3260909.623839221, 4551132.255577419 3260912.360488973, 4551113.221846977 3260955.872991046, 4551111.381042388 3260969.17916907, 4551088.521635411 3261023.588204096, 4551067.653633139 3261075.32691124, 4551047.447919727 3261068.849934239, 4551047.954015956 3261067.347117896, 4551040.108776731 3261063.238792483, 4551041.838882552 3261057.403240384, 4551028.435423608 3261051.989165286, 4551011.935283095 3261044.481408947, 4550995.051983995 3261035.696932023, 4550986.058855395 3261030.788859862, 4550981.346567571 3261028.14096962, 4550985.54049207 3261017.528941312, 4550990.860774242 3261004.529350382, 4550997.760554981 3260987.168983607, 4550989.016162548 3260965.11493641, 4550943.256892475 3260854.393782947, 4550906.353656106 3260867.072987266, 4550902.29229991 3260856.311185217));POINT (4551022.443040357 3260920.410671423);503,4458981730505;0,0005034362070260652
25;commercial;POLYGON ((4545024.429385528 3265215.579717849, 4545149.710450307 3265045.617407598, 4545153.145386238 3265048.190727397, 4545339.033156055 3265187.339152254, 4545291.791446929 3265248.451409622, 4545287.68582192 3265252.086310814, 4545282.861521157 3265254.619093531, 4545108.73472691 3265361.322933589, 4545024.429385528 3265215.579717849));POINT (4545169.048162999 3265204.948234104);841,1278402797423;0,0008411116488805013
26;commercial;POLYGON ((4544672.386295479 3269402.712228392, 4544754.994049173 3269389.844882184, 4544756.058815136 3269398.861382637, 4544673.677748357 3269412.128897314, 4544672.386295479 3269402.712228392));POINT (4544713.960213517 3269400.935746305);12,529768339103885;1,252952714570633e-05
27;retail;POLYGON ((4546309.7571103 3262020.493220894, 4546337.325404896 3261996.437578592, 4546359.402189527 3261997.454701484, 4546447.562873144 3261873.387892667, 4546485.519886254 3261936.269878344, 4546404.887704818 3262050.273710502, 4546445.320792629 3262078.085855064, 4546415.202109517 3262122.300790453, 4546381.8413539 3262083.536777226, 4546364.646066487 3262058.588888093, 4546340.065801423 3262027.76761769, 4546323.649954927 3262035.330619279, 4546309.7571103 3262020.493220894));POINT (4546408.40724988 3261997.093102558);252,66496587796962;0,0002526601021710028
28;commercial;POLYGON ((4547527.878527109 3263192.557267896, 4547538.172866417 3263163.984656822, 4547566.395252429 3263174.547126144, 4547565.7182583 3263176.387771786, 4547589.918669197 3263188.247810021, 4547624.016021925 3263204.427514483, 4547624.707283924 3263210.85407708, 4547630.0276436 3263225.269182819, 4547688.083168818 3263295.210723096, 4547777.338410337 3263403.961895857, 4547778.443128867 3263406.875787899, 4547777.149867625 3263409.679680539, 4547734.471068418 3263445.500968311, 4547527.878527109 3263192.557267896));POINT (4547654.758961044 3263302.260196537);307,2791718232885;0,0003072732568130948
29;retail;POLYGON ((4559260.077469997 3267225.904635282, 4559295.748137042 3267207.669421769, 4559327.233431186 3267194.235436828, 4559368.035657449 3267298.357948203, 4559371.6093373 3267307.722904441, 4559376.24602207 3267319.579354975, 4559367.75685806 3267319.125081934, 4559359.479738627 3267317.945657883, 4559350.782011687 3267315.899127601, 4559341.525754189 3267313.725379048, 4559320.777961467 3267305.804792679, 4559304.067376325 3267295.159773842, 4559293.551072442 3267282.484897791, 4559289.518557262 3267277.811104837, 4559277.096120417 3267255.751550855, 4559260.077469997 3267225.904635282));POINT (4559319.091170226 3267257.972324383);119,51692936927782;0,0001195146287126751
30;retail;POLYGON ((4544467.059307648 3279486.144008768, 4544508.755494571 3279445.934892056, 4544513.317865226 3279450.631687729, 4544527.209728776 3279464.397170883, 4544484.025746253 3279503.903595189, 4544468.064149541 3279486.724360266, 4544467.059307648 3279486.144008768));POINT (4544497.039848869 3279474.879456917);23,733073400059663;2,373261654719113e-05
31;retail;POLYGON ((4544815.378588711 3279528.653994237, 4544842.541750939 3279517.15446303, 4544844.881558649 3279520.146288677, 4544855.101827428 3279533.166558105, 4544858.805412166 3279537.791239255, 4544875.599066564 3279559.298874073, 4544881.888650117 3279567.316540012, 4544892.326216755 3279580.625297266, 4544872.894562632 3279603.92879081, 4544870.645035394 3279601.041320066, 4544819.597805949 3279534.171063028, 4544815.378588711 3279528.653994237));POINT (4544855.647087078 3279558.051287308);41,22396479611935;4,1223171250072786e-05
32;industrial;POLYGON ((4544988.658627301 3279843.841585936, 4544990.88001286 3279840.812032131, 4545010.723172207 3279815.923444833, 4545016.822812282 3279808.647379641, 4545018.890836547 3279806.301595739, 4545022.991034711 3279809.663260142, 4545039.277877162 3279822.781685267, 4545053.842987734 3279834.529494337, 4545019.23337755 3279875.212418092, 4544990.632608018 3279849.189864364, 4544988.658627301 3279843.841585936));POINT (4545019.982712653 3279840.41423779);37,28420400403393;3,7283486296922715e-05
33;industrial;POLYGON ((4545070.992803852 3279408.402051014, 4545128.173788744 3279383.430092111, 4545168.170052714 3279375.178944998, 4545184.026550276 3279405.290348912, 4545094.307668275 3279451.987572215, 4545093.616257425 3279450.786320068, 4545089.298755964 3279442.379043691, 4545079.448185596 3279424.695916253, 4545073.972329744 3279415.355825545, 4545070.992803852 3279408.402051014));POINT (4545126.171335422 3279410.129986054);72,64848593870323;7,26470874822692e-05
34;retail;POLYGON ((4545032.831132611 3279425.806089628, 4545070.992803852 3279408.402051014, 4545073.972329744 3279415.355825545, 4545079.448185596 3279424.695916253, 4545089.298755964 3279442.379043691, 4545093.616257425 3279450.786320068, 4545094.307668275 3279451.987572215, 4545073.058814921 3279463.810540938, 4545064.174967892 3279468.753999527, 4545057.661242684 3279472.167585141, 4545057.221343045 3279471.401133821, 4545040.058144817 3279439.437041692, 4545037.762157382 3279435.043361911, 4545036.20464379 3279432.009039648, 4545032.831132611 3279425.806089628));POINT (4545063.709874006 3279439.818947643);34,425960666588395;3,4425297979602286e-05
35;retail;POLYGON ((4547065.340869008 3271423.255599715, 4547128.043010392 3271416.34681497, 4547160.346736807 3271491.892601005, 4547132.558356333 3271506.762336961, 4547117.86660331 3271486.503205861, 4547110.924716301 3271476.971502811, 4547103.910628281 3271467.826437233, 4547094.872657643 3271456.583271217, 4547088.734669358 3271449.517173534, 4547065.340869008 3271423.255599715));POINT (4547119.155774064 3271455.625436476);64,67950679607151;6,467826173953302e-05
36;retail;POLYGON ((4566270.373539794 3272247.23081744, 4566271.526516072 3272243.064799497, 4566283.096252768 3272198.565056367, 4566298.594614369 3272154.349813011, 4566305.580665135 3272156.702980966, 4566315.299389889 3272161.777304046, 4566316.016611733 3272161.980118415, 4566325.07559788 3272164.748406507, 4566326.831517278 3272165.114307389, 4566338.191192141 3272167.685012422, 4566339.282585928 3272168.017871458, 4566338.111028493 3272173.642736707, 4566333.914400033 3272193.826436007, 4566327.986389153 3272193.019051153, 4566327.195756678 3272213.060112639, 4566327.122626589 3272213.435351109, 4566324.386363189 3272227.384521078, 4566323.747866238 3272230.640068673, 4566319.364299595 3272249.532991068, 4566282.106336285 3272250.221115121, 4566277.940184258 3272250.069697127, 4566273.402639892 3272249.732667406, 4566271.278570231 3272248.980749241, 4566270.373539794 3272247.23081744));POINT (4566304.907030026 3272206.412172488);67,36406408703157;6,736276735376001e-05
37;retail;POLYGON ((4566449.285723196 3272351.126461444, 4566459.37478994 3272278.895451833, 4566498.085578671 3272277.155486872, 4566495.974434855 3272304.830944751, 4566486.463746652 3272342.100392519, 4566449.285723196 3272351.126461444));POINT (4566473.731322386 3272311.818338932);42,584100550072066;4,2583280821916247e-05
38;commercial;POLYGON ((4566486.463746652 3272342.100392519, 4566495.974434855 3272304.830944751, 4566498.085578671 3272277.155486872, 4566529.835867388 3272272.149824351, 4566569.551791712 3272267.440573653, 4566570.391044758 3272282.191659476, 4566583.783476322 3272341.963017621, 4566584.660657945 3272345.762017294, 4566511.810686622 3272362.372416609, 4566506.273603543 3272337.302770029, 4566486.463746652 3272342.100392519));POINT (4566536.414192406 3272314.220456645);106,96881862081715;0,00010696675951069657
39;retail;POLYGON ((4566629.94146943 3272258.612670717, 4566707.587054867 3272247.547022352, 4566717.123546084 3272283.146106588, 4566719.719259171 3272282.350488151, 4566722.940760335 3272292.005153821, 4566726.893340024 3272292.213172163, 4566726.275712022 3272302.24493214, 4566725.063313884 3272316.147270057, 4566728.334989033 3272340.146045663, 4566733.05703343 3272361.241773095, 4566737.395318368 3272377.9167331, 4566739.490198894 3272377.619921451, 4566741.205845836 3272385.171488837, 4566739.664572905 3272386.766228799, 4566700.248725176 3272396.358695455, 4566682.706515224 3272319.297380181, 4566645.669869456 3272327.794159024, 4566629.94146943 3272258.612670717));POINT (4566689.777048909 3272311.018669673);140,29431013311086;0,0001402916095196276
40;retail;POLYGON ((4566781.464578469 3275143.024609787, 4566820.44623366 3275125.678752983, 4566880.053558382 3275092.345682254, 4566887.126814417 3275104.254275906, 4566874.284820977 3275150.784275647, 4566840.430834084 3275141.31782689, 4566825.341325076 3275192.850719399, 4566804.830491367 3275200.597956248, 4566781.464578469 3275143.024609787));POINT (4566833.044850796 3275144.135313744);76,27684870805527;7,627538040698243e-05
41;retail;POLYGON ((4564774.317439958 3272116.951469099, 4564803.498277608 3272112.32039248, 4564813.16638394 3272196.606093743, 4564813.724128861 3272200.021187237, 4564788.79244613 3272199.034261799, 4564784.511535922 3272198.867292931, 4564783.721487294 3272194.928138202, 4564778.012194248 3272166.576339093, 4564784.041484705 3272161.102098328, 4564779.47686861 3272140.361942639, 4564774.317439958 3272116.951469099));POINT (4564794.48732736 3272157.567019123);39,22864262528587;3,922788748845172e-05
