INDEX;geometry;traffic;energysum;conversionfactor
352;POINT (4552964.37486178 3258573.150679963);386186,0;7476;0,0012459749227712747
353;POINT (4552962.464660942 3258570.45871161);386186,0;7476;0,0012459749227712747
354;POINT (4556350.342283188 3278533.70907527);384212,0;7438;0,001239606088847853
355;POINT (4551473.877798012 3281535.299606654);383452,0;7423;0,0012371540555237393
356;POINT (4551473.902753509 3281535.262673653);383452,0;7423;0,0012371540555237393
357;POINT (4566650.818720791 3272202.464121352);380535,0;7367;0,0012277427644626347
358;POINT (4545469.153683865 3283378.667525062);380340,0;7363;0,0012271136243334213
359;POINT (4562623.818016099 3266557.709854573);379440,0;7345;0,0012242099006601287
360;POINT (4562623.816216052 3266557.704039598);379440,0;7345;0,0012242099006601287
361;POINT (4555078.145144083 3262818.495361428);375390,0;7267;0,0012111431441303123
362;POINT (4561697.424864041 3277287.732072704);371312,0;7188;0,0011979860495306602
363;POINT (4551662.341424412 3280260.642514512);367946,0;7123;0,0011871261229925462
364;POINT (4553716.78369374 3265768.0277745);365127,0;7068;0,0011780310151758666
365;POINT (4550133.528422806 3263730.573627211);363600,0;7039;0,0011731043640101802
366;POINT (4540085.32611437 3271316.913427333);361501,0;6998;0,0011663322351321346
367;POINT (4540081.89673165 3271322.755907225);361501,0;6998;0,0011663322351321346
368;POINT (4545602.205137367 3279356.137640836);358243,0;6935;0,0011558207554348157
369;POINT (4553458.787919162 3283737.731246793);353964,0;6852;0,0011420151625481283
370;POINT (4553458.796933208 3283737.738509714);353964,0;6852;0,0011420151625481283
371;POINT (4557688.710267205 3274249.258513575);353652,0;6846;0,0011410085383413869
372;POINT (4557688.228201885 3274249.345156897);353652,0;6846;0,0011410085383413869
373;POINT (4539534.848135144 3274553.265549278);347636,0;6730;0,0011215987587652448
374;POINT (4563039.168313288 3263071.554068013);346860,0;6715;0,0011190951036869393
375;POINT (4563039.140299825 3263071.534610961);346860,0;6715;0,0011190951036869393
376;POINT (4552929.526624423 3258482.813532139);342446,0;6629;0,001104853952249258
377;POINT (4552928.963054222 3258483.250855105);342446,0;6629;0,001104853952249258
378;POINT (4554317.566380386 3279093.02633517);340640,0;6594;0,001099027146744851
379;POINT (4554314.691298086 3279092.282004475);340640,0;6594;0,001099027146744851
380;POINT (4544437.56297668 3281631.155249577);340020,0;6582;0,0010970268037699162
381;POINT (4544437.562247067 3281632.579474793);340020,0;6582;0,0010970268037699162
382;POINT (4561786.321316181 3277493.694826343);337380,0;6531;0,001088509214328258
383;POINT (4557671.075227308 3278633.042108759);329560,0;6380;0,001063279081966983
384;POINT (4557670.814519554 3278633.499824684);329560,0;6380;0,001063279081966983
385;POINT (4557217.323400633 3269472.879469876);324090,0;6274;0,0010456308947526384
386;POINT (4561790.916445717 3277492.059896226);322710,0;6247;0,0010411785184535898
387;POINT (4552041.758597584 3280165.007142581);319906,0;6193;0,001032131806031465
388;POINT (4536559.038810593 3275797.468564535);314370,0;6086;0,0010142706790810792
